ticker,sector,spider_id
KSS,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
KTF,Financials,SECTOR_FINANCIALS
KTOS,Industrials,SECTOR_INDUSTRIALS
KVUE,Consumer Staples,SECTOR_CONSUMER_STAPLES
KYMR,Healthcare,SECTOR_HEALTHCARE
LAD,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
LASR,Technology,SECTOR_TECHNOLOGY
LAUR,Consumer Staples,SECTOR_CONSUMER_STAPLES
LAW,Technology,SECTOR_TECHNOLOGY
LAZ,Financials,SECTOR_FINANCIALS
LBRDA,Communication Services,SECTOR_COMMUNICATION_SERVICES
LBRT,Energy,SECTOR_ENERGY
LDI,Financials,SECTOR_FINANCIALS
LDOS,Technology,SECTOR_TECHNOLOGY
LEGH,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
LEGN,Healthcare,SECTOR_HEALTHCARE
LEU,Energy,SECTOR_ENERGY
LFST,Healthcare,SECTOR_HEALTHCARE
LGND,Healthcare,SECTOR_HEALTHCARE
LHX,Industrials,SECTOR_INDUSTRIALS
LIFE,Financials,SECTOR_FINANCIALS
LII,Industrials,SECTOR_INDUSTRIALS
LILAK,Communication Services,SECTOR_COMMUNICATION_SERVICES
LINC,Consumer Staples,SECTOR_CONSUMER_STAPLES
LIND,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
LITE,Technology,SECTOR_TECHNOLOGY
LLY,Healthcare,SECTOR_HEALTHCARE
LMT,Industrials,SECTOR_INDUSTRIALS
LNKB,Financials,SECTOR_FINANCIALS
LOB,Financials,SECTOR_FINANCIALS
LOPE,Consumer Staples,SECTOR_CONSUMER_STAPLES
LOW,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
LPTH,Technology,SECTOR_TECHNOLOGY
LQDA,Healthcare,SECTOR_HEALTHCARE
LRCX,Technology,SECTOR_TECHNOLOGY
LRN,Consumer Staples,SECTOR_CONSUMER_STAPLES
LSCC,Technology,SECTOR_TECHNOLOGY
LTBR,Industrials,SECTOR_INDUSTRIALS
LTH,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
LUMN,Communication Services,SECTOR_COMMUNICATION_SERVICES
LUNR,Industrials,SECTOR_INDUSTRIALS
LVS,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
LVWR,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
LWAY,Consumer Staples,SECTOR_CONSUMER_STAPLES
LXFR,Industrials,SECTOR_INDUSTRIALS
LXRX,Healthcare,SECTOR_HEALTHCARE
LYEL,Healthcare,SECTOR_HEALTHCARE
LYFT,Technology,SECTOR_TECHNOLOGY
LYTS,Technology,SECTOR_TECHNOLOGY
LYV,Communication Services,SECTOR_COMMUNICATION_SERVICES
LZ,Industrials,SECTOR_INDUSTRIALS
MA,Financials,SECTOR_FINANCIALS
MAIN,Financials,SECTOR_FINANCIALS
MAMA,Consumer Staples,SECTOR_CONSUMER_STAPLES
MANH,Technology,SECTOR_TECHNOLOGY
MARA,Financials,SECTOR_FINANCIALS
MASI,Healthcare,SECTOR_HEALTHCARE
MATV,Materials,SECTOR_MATERIALS
MATW,Industrials,SECTOR_INDUSTRIALS
MATX,Industrials,SECTOR_INDUSTRIALS
MAX,Communication Services,SECTOR_COMMUNICATION_SERVICES
MBI,Financials,SECTOR_FINANCIALS
MBIN,Financials,SECTOR_FINANCIALS
MBWM,Financials,SECTOR_FINANCIALS
MCB,Financials,SECTOR_FINANCIALS
MCHB,Financials,SECTOR_FINANCIALS
MCHP,Technology,SECTOR_TECHNOLOGY
MCO,Financials,SECTOR_FINANCIALS
MCS,Communication Services,SECTOR_COMMUNICATION_SERVICES
MCY,Financials,SECTOR_FINANCIALS
MDB,Technology,SECTOR_TECHNOLOGY
MDGL,Healthcare,SECTOR_HEALTHCARE
MDLZ,Consumer Staples,SECTOR_CONSUMER_STAPLES
MDU,Utilities,SECTOR_UTILITIES
MDXG,Healthcare,SECTOR_HEALTHCARE
MEDP,Healthcare,SECTOR_HEALTHCARE
MEG,Industrials,SECTOR_INDUSTRIALS
MEGI,Financials,SECTOR_FINANCIALS
MELI,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
META,Communication Services,SECTOR_COMMUNICATION_SERVICES
MFIC,Financials,SECTOR_FINANCIALS
MG,Industrials,SECTOR_INDUSTRIALS
MGNI,Communication Services,SECTOR_COMMUNICATION_SERVICES
MHK,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
MHN,Financials,SECTOR_FINANCIALS
MHO,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
MIR,Industrials,SECTOR_INDUSTRIALS
