ticker,sector,spider_id,batch,batch_name,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
PTA,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,2.6453,0.5554,295.87,2.9587,475.7,179.83,5.7141,-3.6476,10.3372,-3.7302,32.2,1,4
UEC,Energy,SECTOR_ENERGY,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,2.8008,0.553,356.82,3.5682,554.97,198.15,16.8731,-6.6891,38.1215,-12.0841,13.8,0,6
TRN,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,2.6985,0.5527,335.84,3.3584,533.57,197.73,12.294,-4.1197,21.0314,-6.6304,17.7,0,6
FUL,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,7,5,2,71.43,3.134,0.5498,367.27,3.6727,539.37,172.1,5.6938,-4.773,8.187,-5.0659,13.7,0,7
RUSHA,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,3.3496,0.5488,433.66,4.3366,618.23,184.57,5.9059,-3.2967,16.8556,-4.8451,10.8,0,8
CUBI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,1.6512,0.5478,243.34,2.4334,617.0,373.66,29.655,-9.567,63.4387,-13.2275,19.9,0,7
ATKR,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,3.8457,0.5465,437.79,4.3779,591.63,153.84,8.3701,-3.1813,18.2383,-4.1798,12.1,0,8
PGY,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,1.343,0.5458,66.87,0.6687,261.84,194.97,107.5937,-18.1534,107.5937,-21.1298,72.0,0,3
SUPN,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,2,1,1,50.0,2.0825,0.545,107.85,1.0785,207.48,99.63,17.6114,-4.6137,17.6114,-4.6137,46.0,0,2
AN,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,3.171,0.5412,351.36,3.5136,513.2,161.84,10.6304,-3.7125,19.9694,-4.4168,14.8,0,6
JBHT,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,2.7555,0.5408,420.6,4.206,660.19,239.59,7.037,-4.6155,14.6862,-6.3233,13.2,0,8
ISRG,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,9,5,4,55.56,2.8317,0.5387,499.05,4.9905,771.5,272.45,8.8991,-4.2572,22.2335,-6.9175,18.1,2,7
CARG,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,2.3883,0.5364,364.85,3.6485,627.65,262.8,11.5991,-6.5911,25.8328,-10.9076,23.3,1,6
RBC,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,2.758,0.5362,378.91,3.7891,594.44,215.53,7.3159,-5.928,19.6435,-8.4479,18.1,0,8
WAB,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,9,4,5,44.44,3.6781,0.5346,464.73,4.6473,638.26,173.53,7.0168,-1.4858,15.2663,-3.6064,14.0,0,9
VTRS,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,8,3,5,37.5,2.6586,0.5345,441.46,4.4146,707.63,266.17,12.2445,-3.6174,19.0427,-7.0285,16.9,0,8
ALGM,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,1.8088,0.5343,320.7,3.207,717.21,396.51,19.5087,-6.968,21.9512,-7.6905,19.0,0,7
GBCI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,1.6521,0.5342,204.82,2.0482,518.92,314.1,13.481,-7.6404,34.1311,-10.3258,19.2,0,6
CENX,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,6,2,4,33.33,1.9841,0.5339,309.84,3.0984,624.68,314.84,40.5661,-8.6447,41.7989,-12.233,21.2,0,6
SPFI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,3.415,0.5338,335.68,3.3568,474.68,139.0,9.8294,-2.0594,22.554,-4.1848,18.2,0,6
INVA,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,2.0592,0.5324,317.02,3.1702,616.32,299.3,8.8265,-4.8223,13.6872,-5.4927,20.3,0,6
LDI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,2,4,33.33,1.8985,0.5307,361.85,3.6185,764.58,402.73,50.7789,-13.7439,89.0578,-15.3077,26.2,1,5
